Date,Close
06-Jan-2017,8243.8
05-Jan-2017,8273.8
04-Jan-2017,8190.5
03-Jan-2017,8192.25
02-Jan-2017,8179.5
30-Dec-2016,8185.8
29-Dec-2016,8103.6
28-Dec-2016,8034.85
27-Dec-2016,8032.85
26-Dec-2016,7908.25
23-Dec-2016,7985.75
22-Dec-2016,7979.1
21-Dec-2016,8061.3
20-Dec-2016,8082.4
19-Dec-2016,8104.35
16-Dec-2016,8139.45
15-Dec-2016,8153.6
14-Dec-2016,8182.45
13-Dec-2016,8221.8
12-Dec-2016,8170.8
09-Dec-2016,8261.75
08-Dec-2016,8246.85
07-Dec-2016,8102.05
06-Dec-2016,8143.15
05-Dec-2016,8128.75
02-Dec-2016,8086.8
01-Dec-2016,8192.9
30-Nov-2016,8224.5
29-Nov-2016,8142.15
28-Nov-2016,8126.9
25-Nov-2016,8114.3
24-Nov-2016,7965.5
23-Nov-2016,8033.3
22-Nov-2016,8002.3
21-Nov-2016,7929.1
18-Nov-2016,8074.1
17-Nov-2016,8079.95
16-Nov-2016,8111.6
15-Nov-2016,8108.45
11-Nov-2016,8296.3
10-Nov-2016,8525.75
09-Nov-2016,8432
08-Nov-2016,8543.55
07-Nov-2016,8497.05
04-Nov-2016,8433.75
03-Nov-2016,8484.95
02-Nov-2016,8514
01-Nov-2016,8626.25
30-Oct-2016,8625.7
28-Oct-2016,8638
27-Oct-2016,8615.25
26-Oct-2016,8615.25
25-Oct-2016,8691.3
24-Oct-2016,8708.95
21-Oct-2016,8693.05
20-Oct-2016,8699.4
19-Oct-2016,8659.1
18-Oct-2016,8677.9
17-Oct-2016,8520.4
14-Oct-2016,8583.4
13-Oct-2016,8573.35
10-Oct-2016,8708.8
07-Oct-2016,8697.6
06-Oct-2016,8709.55
05-Oct-2016,8743.95
04-Oct-2016,8769.15
03-Oct-2016,8738.1
30-Sep-2016,8611.15
29-Sep-2016,8591.25
28-Sep-2016,8745.15
27-Sep-2016,8706.4
26-Sep-2016,8723.05
23-Sep-2016,8831.55
22-Sep-2016,8867.45
21-Sep-2016,8777.15
20-Sep-2016,8775.9
19-Sep-2016,8808.4
16-Sep-2016,8779.85
15-Sep-2016,8742.55
14-Sep-2016,8726.6
12-Sep-2016,8715.6
09-Sep-2016,8866.7
08-Sep-2016,8952.5
07-Sep-2016,8917.95
06-Sep-2016,8943
02-Sep-2016,8809.65
01-Sep-2016,8774.65
31-Aug-2016,8786.2
30-Aug-2016,8744.35
29-Aug-2016,8607.45
26-Aug-2016,8572.55
25-Aug-2016,8592.2
24-Aug-2016,8650.3
23-Aug-2016,8632.6
22-Aug-2016,8629.15
19-Aug-2016,8666.9
18-Aug-2016,8673.25
17-Aug-2016,8624.05
16-Aug-2016,8642.55
12-Aug-2016,8672.15
11-Aug-2016,8592.15
10-Aug-2016,8575.3
09-Aug-2016,8678.25
08-Aug-2016,8711.35
05-Aug-2016,8683.15
04-Aug-2016,8551.1
03-Aug-2016,8544.85
02-Aug-2016,8622.9
01-Aug-2016,8636.55
29-Jul-2016,8638.5
28-Jul-2016,8666.3
27-Jul-2016,8615.8
26-Jul-2016,8590.65
25-Jul-2016,8635.65
22-Jul-2016,8541.2
21-Jul-2016,8510.1
20-Jul-2016,8565.85
19-Jul-2016,8528.55
18-Jul-2016,8508.7
15-Jul-2016,8541.4
14-Jul-2016,8565
13-Jul-2016,8519.5
12-Jul-2016,8521.05
11-Jul-2016,8467.9
08-Jul-2016,8323.2
07-Jul-2016,8337.9
05-Jul-2016,8335.95
04-Jul-2016,8370.7
01-Jul-2016,8328.35
30-Jun-2016,8287.75
29-Jun-2016,8204
28-Jun-2016,8127.85
27-Jun-2016,8094.7
24-Jun-2016,8088.6
23-Jun-2016,8270.45
22-Jun-2016,8203.7
21-Jun-2016,8219.9
20-Jun-2016,8238.5
17-Jun-2016,8170.2
16-Jun-2016,8140.75
15-Jun-2016,8206.6
14-Jun-2016,8108.85
13-Jun-2016,8110.6
10-Jun-2016,8170.05
09-Jun-2016,8203.6
08-Jun-2016,8273.05
07-Jun-2016,8266.45
06-Jun-2016,8201.05
03-Jun-2016,8220.8
02-Jun-2016,8218.95
01-Jun-2016,8179.95
31-May-2016,8160.1
30-May-2016,8178.5
27-May-2016,8156.65
26-May-2016,8069.65
25-May-2016,7934.9
24-May-2016,7748.85
23-May-2016,7731.05
20-May-2016,7749.7
19-May-2016,7783.4
18-May-2016,7870.15
17-May-2016,7890.75
16-May-2016,7860.75
13-May-2016,7814.9
12-May-2016,7900.4
11-May-2016,7848.85
10-May-2016,7887.8
09-May-2016,7866.05
06-May-2016,7733.45
05-May-2016,7735.5
04-May-2016,7706.55
03-May-2016,7747
02-May-2016,7805.9
29-Apr-2016,7849.8
28-Apr-2016,7847.25
27-Apr-2016,7979.9
26-Apr-2016,7962.65
25-Apr-2016,7855.05
22-Apr-2016,7899.3
21-Apr-2016,7912.05
20-Apr-2016,7914.75
18-Apr-2016,7914.7
13-Apr-2016,7850.45
12-Apr-2016,7708.95
11-Apr-2016,7671.4
08-Apr-2016,7555.2
07-Apr-2016,7546.45
06-Apr-2016,7614.35
05-Apr-2016,7603.2
04-Apr-2016,7758.8
01-Apr-2016,7713.05
31-Mar-2016,7738.4
30-Mar-2016,7735.2
29-Mar-2016,7597
28-Mar-2016,7615.1
23-Mar-2016,7716.5
22-Mar-2016,7714.9
21-Mar-2016,7704.25
18-Mar-2016,7604.35
17-Mar-2016,7512.55
16-Mar-2016,7498.75
15-Mar-2016,7460.6
14-Mar-2016,7538.75
11-Mar-2016,7510.2
10-Mar-2016,7486.15
09-Mar-2016,7531.8
08-Mar-2016,7485.3
04-Mar-2016,7485.35
03-Mar-2016,7475.6
02-Mar-2016,7368.85
01-Mar-2016,7222.3
29-Feb-2016,6987.05
26-Feb-2016,7029.75
25-Feb-2016,6970.6
24-Feb-2016,7018.7
23-Feb-2016,7109.55
22-Feb-2016,7234.55
19-Feb-2016,7210.75
18-Feb-2016,7191.75
17-Feb-2016,7108.45
16-Feb-2016,7048.25
15-Feb-2016,7162.95
12-Feb-2016,6980.95
11-Feb-2016,6976.35
10-Feb-2016,7215.7
09-Feb-2016,7298.2
08-Feb-2016,7387.25
05-Feb-2016,7489.1
04-Feb-2016,7404
03-Feb-2016,7361.8
02-Feb-2016,7455.55
01-Feb-2016,7555.95
29-Jan-2016,7563.55
28-Jan-2016,7424.65
27-Jan-2016,7437.75
25-Jan-2016,7436.15
22-Jan-2016,7422.45
21-Jan-2016,7276.8
20-Jan-2016,7309.3
19-Jan-2016,7435.1
18-Jan-2016,7351
15-Jan-2016,7437.8
14-Jan-2016,7536.8
13-Jan-2016,7562.4
12-Jan-2016,7510.3
11-Jan-2016,7563.85
08-Jan-2016,7601.35
07-Jan-2016,7568.3
06-Jan-2016,7741
05-Jan-2016,7784.65
04-Jan-2016,7791.3
01-Jan-2016,7963.2
31-Dec-15,7946.35
30-Dec-15,7896.25
29-Dec-15,7928.95
28-Dec-15,7925.15
24-Dec-15,7861.05
23-Dec-15,7865.95
22-Dec-15,7786.1
21-Dec-15,7834.45
18-Dec-15,7761.95
17-Dec-15,7844.35
16-Dec-15,7750.9
15-Dec-15,7700.9
14-Dec-15,7650.05
11-Dec-15,7610.45
10-Dec-15,7683.3
09-Dec-15,7612.5
08-Dec-15,7701.7
07-Dec-15,7765.4
04-Dec-15,7781.9
03-Dec-15,7864.15
02-Dec-15,7931.35
01-Dec-15,7954.9
30-Nov-15,7935.25
27-Nov-15,7942.7
26-Nov-15,7883.8
24-Nov-15,7831.6
23-Nov-15,7849.25
20-Nov-15,7856.55
19-Nov-15,7842.75
18-Nov-15,7731.8
17-Nov-15,7837.55
16-Nov-15,7806.6
13-Nov-15,7762.25
11-Nov-15,7825
10-Nov-15,7783.35
09-Nov-15,7915.2
06-Nov-15,7954.3
05-Nov-15,7955.45
04-Nov-15,8040.2
03-Nov-15,8060.7
02-Nov-15,8050.8
30-Oct-15,8065.8
29-Oct-15,8111.75
28-Oct-15,8171.2
27-Oct-15,8232.9
26-Oct-15,8260.55
23-Oct-15,8295.45
21-Oct-15,8251.7
19-Oct-15,8275.05
16-Oct-15,8238.15
15-Oct-15,8179.5
14-Oct-15,8107.9
12-Oct-15,8143.6
09-Oct-15,8189.7
08-Oct-15,8129.35
07-Oct-15,8177.4
06-Oct-15,8152.9
